Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-05-18 13:14:37.889134,1621343677.889134,50.0,,13.1,739196928,0.0,0,82.8,41314197504,
2021-05-18 13:14:38.895126,1621343678.895126,5.6,,13.2,749072384,0.0,0,82.8,41314197504,
2021-05-18 13:14:39.900677,1621343679.900677,7.0,,13.2,750395392,0.0,0,82.8,41314197504,
2021-05-18 13:14:40.938386,1621343680.938386,1.9,,13.2,750395392,0.0,0,82.8,41314197504,
2021-05-18 13:14:41.940721,1621343681.940721,0.5,,13.2,750395392,0.0,0,82.8,41314197504,
2021-05-18 13:14:42.944096,1621343682.944096,0.0,,13.2,750395392,0.0,0,82.8,41314197504,
2021-05-18 13:14:43.946981,1621343683.946981,0.0,,13.2,750387200,0.0,0,82.8,41314197504,
2021-05-18 13:14:44.948339,1621343684.948339,5.0,,13.2,750661632,0.0,0,82.8,41314197504,
2021-05-18 13:14:45.951127,1621343685.951127,0.0,,13.2,750661632,0.0,0,82.8,41314201600,
2021-05-18 13:14:46.953761,1621343686.953761,0.5,,13.2,750657536,0.0,0,82.8,41314201600,
2021-05-18 13:14:47.956413,1621343687.956413,0.5,,13.2,750657536,0.0,0,82.8,41314201600,
2021-05-18 13:14:48.960826,1621343688.960826,0.5,,13.2,750657536,0.0,0,82.8,41314201600,
2021-05-18 13:14:49.964618,1621343689.964618,0.0,,13.2,750653440,0.0,0,82.8,41314205696,
2021-05-18 13:14:50.969222,1621343690.969222,0.0,,13.2,750645248,0.0,0,82.8,41314205696,
2021-05-18 13:14:51.972019,1621343691.972019,0.0,,13.2,750645248,0.0,0,82.8,41314205696,
2021-05-18 13:14:52.977544,1621343692.977544,0.5,,13.2,750645248,0.0,0,82.8,41314205696,
2021-05-18 13:14:53.981926,1621343693.981926,0.5,,13.2,750645248,0.0,0,82.8,41314205696,
2021-05-18 13:14:54.983799,1621343694.983799,10.6,,13.2,750923776,0.0,0,82.8,41314205696,
2021-05-18 13:14:55.985803,1621343695.985803,12.1,,13.2,750899200,0.0,0,82.8,41314209792,
2021-05-18 13:14:56.992577,1621343696.992577,17.0,,13.2,751190016,0.0,0,82.8,41314209792,
2021-05-18 13:14:57.996886,1621343697.996886,7.1,,13.2,751190016,0.0,0,82.8,41314209792,
2021-05-18 13:14:59.003905,1621343699.003905,6.1,,13.2,751190016,0.0,0,82.8,41314209792,
2021-05-18 13:15:00.005736,1621343700.005736,3.0,,13.2,751181824,0.0,0,82.8,41314213888,
2021-05-18 13:15:01.011224,1621343701.011224,3.5,,13.2,751177728,0.0,0,82.8,41314213888,
2021-05-18 13:15:02.015744,1621343702.015744,9.1,,13.2,751177728,0.0,0,82.8,41314213888,
2021-05-18 13:15:03.020162,1621343703.020162,11.7,,13.2,751177728,0.0,0,82.8,41314213888,
2021-05-18 13:15:04.023180,1621343704.02318,5.5,,13.2,752439296,0.0,0,82.8,41314213888,
2021-05-18 13:15:05.027075,1621343705.027075,23.6,,13.2,752648192,0.0,0,82.8,41314222080,
2021-05-18 13:15:06.032971,1621343706.032971,10.1,,13.2,753180672,0.0,0,82.8,41314222080,
2021-05-18 13:15:07.039487,1621343707.039487,15.2,,13.2,752861184,0.0,0,82.8,41314226176,
2021-05-18 13:15:08.041366,1621343708.041366,5.6,,13.2,752861184,0.0,0,82.8,41314226176,
2021-05-18 13:15:09.044035,1621343709.044035,5.7,,13.2,752861184,0.0,0,82.8,41314226176,
2021-05-18 13:15:10.046927,1621343710.046927,3.6,,13.2,752861184,0.0,0,82.8,41314226176,
2021-05-18 13:15:11.050676,1621343711.050676,3.6,,13.2,752852992,0.0,0,82.8,41314226176,
2021-05-18 13:15:12.056358,1621343712.056358,8.7,,13.2,752852992,0.0,0,82.8,41314226176,
2021-05-18 13:15:13.059697,1621343713.059697,7.6,,13.2,752852992,0.0,0,82.8,41314226176,
2021-05-18 13:15:14.064865,1621343714.064865,7.3,,13.2,751546368,0.0,0,82.8,41314226176,
2021-05-18 13:15:15.080273,1621343715.080273,8.5,,13.2,750788608,0.0,0,82.8,41314230272,
2021-05-18 13:15:16.081866,1621343716.081866,7.1,,13.2,750780416,0.0,0,82.8,41314230272,
2021-05-18 13:15:17.083926,1621343717.083926,1.0,,13.2,750776320,0.0,0,82.8,41314234368,
2021-05-18 13:15:18.085224,1621343718.085224,11.2,,13.2,750776320,0.0,0,82.8,41314234368,
2021-05-18 13:15:19.088048,1621343719.088048,15.7,,13.2,751644672,0.0,0,82.8,41314234368,
2021-05-18 13:15:20.092726,1621343720.092726,4.2,,13.2,751583232,0.0,0,82.8,41314234368,
2021-05-18 13:15:21.097526,1621343721.097526,13.0,,13.2,751575040,0.0,0,82.8,41314234368,
2021-05-18 13:15:22.099857,1621343722.099857,10.8,,13.2,751575040,0.0,0,82.8,41314234368,
2021-05-18 13:15:23.104779,1621343723.104779,8.2,,13.2,751575040,0.0,0,82.8,41314234368,
2021-05-18 13:15:24.110896,1621343724.110896,6.2,,13.2,751575040,0.0,0,82.8,41314234368,
2021-05-18 13:15:25.113961,1621343725.113961,16.9,,13.2,751058944,0.0,0,82.8,41314234368,
2021-05-18 13:15:26.117177,1621343726.117177,6.6,,13.2,751058944,0.0,0,82.8,41314238464,
2021-05-18 13:15:27.120292,1621343727.120292,1.5,,13.2,751050752,0.0,0,82.8,41314242560,
2021-05-18 13:15:28.125933,1621343728.125933,2.0,,13.2,751050752,0.0,0,82.8,41314242560,
2021-05-18 13:15:29.139976,1621343729.139976,9.1,,13.2,751050752,0.0,0,82.8,41314242560,
2021-05-18 13:15:30.145997,1621343730.145997,8.7,,13.2,751050752,0.0,0,82.8,41314242560,
